Name	Critic_Score	Critic_Count	User_Score	User_Count
The Godfather II	6.7		7.2	
Mortal Kombat: Unchained	7.0		8.8	
Need for Speed: Shift	6.9		6.5	
Dark Souls II	9.1		7.9	
Assassin's Creed: Revelations	8.0		7.4	
[Prototype 2]	7.9		6.8	
Midnight Club 3: DUB Edition	8.4		7.4	
Resident Evil: Revelations	7.4		7.2	
Tom Clancy's Rainbow Six: Vegas	6.0		7.1	
Red Faction: Guerrilla	8.5		8.1	
Ace Combat: Assault Horizon	7.7		6.7	
Unreal Championship	8.3		8.2	
Crysis 2	8.6		6.8	
Tales of Vesperia	7.9		8.2	
MLB 13: The Show	8.7		7.8	
LEGO Marvel Super Heroes	8.2		8.0	
Namco Museum Remix	4.9		6.3	
Sword of Mana	7.2		8.3	
Marvel: Ultimate Alliance 2	7.4		7.3	
Dragon Age: Inquisition	8.5		5.9	
Resonance of Fate	7.2		8.0	
Pirates of the Caribbean: At World's End	5.5		6.9	
Tiger Woods PGA Tour 08	7.9		6.6	
Classic NES Series: Donkey Kong	5.5		4.8	
Harvest Moon: Animal Parade	7.6		8.9	
WWE SmackDown vs. Raw 2010	7.8		7.7	
Style Savvy: Trendsetters	7.6		8.0	
Final Fantasy XIII-2	7.9		6.3	
Oddworld: Munch's Oddysee	8.0		8.7	
Persona 4: Arena	8.6		7.7	
Brink	7.2		5.8	
NHL 11	8.8		7.7	
NCAA Football 07	7.9		6.9	
Full Spectrum Warrior	8.4		8.7	
LEGO Marvel's Avengers	7.1		7.0	
Katamari Damacy	8.6		9.0	
Just Dance 2015	7.5		6.6	
LEGO Dimensions	8.0		7.1	
Naruto Shippuden: Ultimate Ninja Storm Generations	7.4		7.1	
Shaun Palmer's Pro Snowboarder	6.4		8.7	
James Bond 007: Agent Under Fire	7.4		6.8	
Harvest Moon DS: Island of Happiness	6.5		7.0	
Star Wars Episode III: Revenge of the Sith	7.3		7.5	
Ultimate Spider-Man	7.4		7.9	
Monopoly Streets	6.5		5.2	
Total War: Rome II	7.6		4.2	
NBA Live 08	6.8		6.6	
Star Ocean: The Last Hope International	7.4		6.7	
Dead to Rights	7.3		8.9	
Indiana Jones and the Staff of Kings	5.5		7.0	
Tiger Woods PGA Tour 07	7.9		6.0	
Major League Baseball 2K7	7.9		7.1	
Persona Q: Shadow of the Labyrinth	8.3		8.1	
MLB 14: The Show	8.3		7.7	
X-Men: Mutant Academy 2	7.2		8.4	
Kirby: Canvas Curse	8.6		8.2	
Madden NFL 10	7.7		7.2	
MLB 09: The Show	9.0		8.1	
Borderlands: The Pre-Sequel	7.4		6.4	
Super Monkey Ball Jr.	8.2		8.6	
The Witcher 3: Wild Hunt	9.3		9.3	
F1 2011	8.4		7.1	
Mobile Suit Gundam: Encounters in Space	6.6		8.5	
MLB 10: The Show	9.1		8.3	
MX vs. ATV Reflex	7.5		6.6	
Blur	8.1		8.2	
Battlefield: Bad Company 2	8.7		8.3	
DiRT 3	8.7		7.1	
The Lord of the Rings: The Two Towers	7.9		8.1	
Madden NFL 2003	9.2		8.3	
Skate	8.6		8.4	
XCOM: Enemy Unknown	8.9		8.2	
Ben 10: Protector of Earth	6.0		7.2	
Virtua Fighter 4: Evolution	9.3		9.0	
Crysis	9.1		8.0	
Resident Evil: Survivor	3.9		7.0	
The Sims 2: Castaway	6.6		4.0	
Godzilla: Destroy All Monsters Melee	7.3		7.8	
Silent Hill 3	8.5		8.8	
Spyro: Enter the Dragonfly	4.8		5.1	
Power Rangers: Dino Thunder	4.9		6.2	
Madden NFL 08	7.5		6.8	
Madden NFL 09	6.8		6.5	
NBA Live 09	7.7		7.4	
Dragon Ball: Xenoverse 2	7.3		7.8	
Dynasty Warriors 6	5.9		7.3	
NCAA Football 09	8.3		7.7	
Doom 3: Resurrection of Evil	7.7		7.9	
SSX	8.2		6.4	
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors	6.5		5.9	
Two Worlds	5.0		5.5	
Tony Hawk's Underground	8.9		8.5	
Spider-Man 2	6.7		6.9	
NCAA Football 08	8.1		7.8	
Skylanders: Trap Team	8.6		7.1	
Star Wars: Obi-Wan	5.8		5.9	
Ace Attorney Investigations: Miles Edgeworth	7.8		8.4	
Kill.Switch	7.3		8.3	
Catherine	7.9		8.1	
SplashDown	8.4		8.2	
Jade Empire	8.9		8.6	
Infinite Undiscovery	6.8		7.0	
Lego Star Wars: The Force Awakens	7.8		7.5	
NHL 12	8.6		7.0	
Advance Wars	9.2		9.0	
NASCAR 2001	6.6		6.6	
Mafia	6.5		7.6	
Ape Escape: On the Loose	6.6		6.4	
Mobile Suit Gundam: Journey to Jaburo	5.8		8.1	
MLB 08: The Show	8.5		8.7	
TimeSplitters 2	9.0		8.8	
Omerta: City of Gangsters	4.3		3.3	
Driver: San Francisco	8.0		7.6	
Classic NES Series: Zelda II: The Adventure of Link	7.3		7.5	
James Bond 007: Blood Stone	6.5		7.4	
Metal Gear Solid: Portable Ops Plus	6.5		7.5	
LEGO Rock Band	7.0		6.8	
Halo 2 Multiplayer Map Pack	8.9		7.4	
Mortal Kombat: Shaolin Monks	7.7		8.6	
MotionSports	4.0		4.4	
MX vs. ATV Unleashed: On the Edge	6.8		8.1	
Mario Pinball Land	6.2		4.9	
Dragon Ball Z: Budokai	6.5		6.3	
Plants vs. Zombies: Garden Warfare	7.6		7.4	
Need for Speed Rivals	7.5		5.8	
The Sims 2: Apartment Pets	5.0		3.3	
Harry Potter and the Chamber of Secrets	7.7		8.3	
Prince of Persia: The Forgotten Sands	7.5		7.6	
The Lord of the Rings: The Return of the King	8.4		8.5	
The Sims: Medieval	7.7		6.1	
Top Spin 4	8.2		7.7	
Baldur's Gate: Dark Alliance II	7.8		8.7	
Shark Tale	6.3		9.0	
IL-2 Sturmovik: Birds of Prey	8.1		7.3	
NBA Street Vol. 2	8.9		8.8	
MX vs. ATV Untamed	7.0		7.1	
The Last Remnant	6.6		6.9	
NCAA Football 2005	8.9		8.0	
The Sly Collection	8.5		8.8	
Naruto: Clash of Ninja	7.2		8.1	
Sniper Elite 3	6.7		7.1	
Prince of Persia: The Two Thrones	8.5		8.5	
Hot Shots Golf: Open Tee 2	8.2		8.6	
Suikoden II	8.2		8.4	
Iron Man	4.2		6.2	
FIFA Soccer 06	8.0		7.5	
Fight Night 2004	8.5		8.7	
.hack//Mutation Part 2	7.6		8.9	
Wolfenstein: The New Order	7.9		7.8	
Cars: Mater-National Championship	6.9		6.8	
Kirby's Dream Collection: Special Edition	8.2		8.8	
Return to Castle Wolfenstein: Tides of War	8.4		8.8	
RIFT	8.4		7.3	
Spider-Man 3	6.0		7.0	
Mass Effect	8.9		8.6	
The Evil Within	7.9		7.3	
Armored Core 3	7.4		9.0	
Star Wars: Republic Commando	7.8		8.9	
The LEGO Movie Videogame	7.1		7.1	
Turok	6.7		6.0	
Terraria	8.1		7.2	
Red Steel	6.3		6.8	
Unreal Tournament III	8.6		7.7	
Fossil Fighters: Champions	6.8		7.1	
The Sims 3	7.3		6.4	
NFL Street	8.1		8.8	
Final Fantasy Crystal Chronicles: Ring of Fates	7.7		7.2	
Bakugan: Battle Brawlers	6.2		7.2	
Blazing Angels: Squadrons of WWII	6.7		6.9	
WWE SmackDown vs. RAW 2007	7.8		8.1	
F1 2015	6.5		6.3	
Tony Hawk's Proving Ground	6.5		6.6	
The Darkness	8.0		7.7	
MLB 2004	6.1		7.9	
Darkstone	5.8		8.3	
NCAA March Madness 2003	7.4		8.0	
Thrillville	6.9		2.9	
Castlevania: Lords of Shadow	8.3		7.8	
NHL 10	8.8		8.4	
Street Fighter Anniversary Collection	7.8		8.7	
NHL 13	8.3		6.6	
Napoleon: Total War	8.1		7.9	
Rayman Legends	9.2		8.7	
The Sims: Bustin' Out	8.1		9.0	
BioShock Infinite	9.4		8.5	
Ratatouille	6.4		7.1	
Lollipop Chainsaw	6.7		7.1	
Tom Clancy's EndWar	7.6		6.6	
Shrek: Hassle at the Castle	7.1		7.4	
Suikoden IV	6.3		7.3	
Gods Eater Burst	7.1		7.9	
Fist of the North Star: Ken's Rage	6.0		6.9	
One Piece: Pirate Warriors 2	7.1		7.8	
Brothers In Arms: Road to Hill 30	8.8		8.0	
LEGO Jurassic World	7.0		6.7	
Kung Fu Panda	7.3		8.6	
Freedom Wars	7.3		8.3	
Shaun White Snowboarding	6.3		6.3	
Radiata Stories	7.4		9.0	
F-Zero GX	8.9		8.5	
Disney's Chicken Little	6.0		8.9	
Scene It? Box Office Smash	7.6		7.4	
Yoshi Topsy-Turvy	6.0		6.6	
Monster Jam: Maximum Destruction	4.7		6.0	
Tiger Woods PGA Tour 09	8.2		7.2	
Mortal Kombat	8.5		7.8	
Tiger Woods PGA Tour 09	8.4		7.8	
Advance Wars 2: Black Hole Rising	8.9		9.4	
Wario: Master of Disguise	6.0		7.4	
The Last Story	8.0		8.4	
Drakengard	6.3		9.1	
Champions: Return to Arms	7.7		8.8	
Harry Potter and the Goblet of Fire	6.8		6.7	
Tiger Woods PGA Tour 10	8.0		6.9	
007: Quantum of Solace	5.4		7.5	
Farming Simulator 17	6.4		8.0	
Borderlands 2	6.4		7.6	
Crash Bandicoot Purple: Ripto's Rampage	6.7		6.6	
Assassin's Creed IV: Black Flag	8.4		7.7	
Need For Speed: Undercover	5.4		6.2	
Spyro: A Hero's Tail	6.0		8.0	
Crash: Twinsanity	6.4		8.0	
The LEGO Movie Videogame	6.8		7.7	
Max Payne 2: The Fall of Max Payne	8.4		8.4	
Drawn to Life: The Next Chapter	7.2		7.7	
GoldenEye: Rogue Agent	6.0		7.0	
WWE 2K15	5.0		4.0	
Star Ocean: First Departure	7.4		7.4	
James Bond 007: Everything or Nothing	8.3		7.4	
X2: Wolverine's Revenge	5.8		7.2	
NBA Live 06	7.9		6.4	
Rayman 3D	6.1		6.6	
Football Manager 2014	8.5		5.5	
TimeSplitters 2	8.8		7.7	
Onimusha: Dawn of Dreams	8.1		8.9	
Sengoku Basara: Samurai Heroes	6.1		7.9	
Stuntman: Ignition	7.5		7.3	
Real Heroes: Firefighter	6.7		8.2	
Dishonored 2	8.8		7.7	
The Crew	6.4		5.9	
Dragon Ball: Raging Blast 2	5.7		7.4	
NHL 13	8.4		6.8	
Dead or Alive 5	7.4		7.7	
Evolve	7.4		5.1	
Lemony Snicket's A Series of Unfortunate Events	6.3		5.7	
Lost Planet: Extreme Condition	6.7		7.0	
X-Men Legends II: Rise of Apocalypse	8.2		7.3	
LEGO Star Wars II: The Original Trilogy	8.1		8.0	
Rock Band 3	9.1		6.9	
Dragon Age II	8.2		4.5	
Tony Hawk's Pro Skater 2x	7.8		8.8	
NBA Live 08	7.3		6.8	
FIFA Soccer 2003	8.8		7.7	
The Lord of the Rings: Conquest	5.5		7.0	
Far Cry 4	8.0		6.7	
NASCAR 06: Total Team Control	7.8		7.7	
Iron Man	4.4		6.5	
White Knight Chronicles II	6.0		7.1	
Juiced 2: Hot Import Nights	6.8		7.6	
Wolfenstein	7.1		7.4	
The Walking Dead: Survival Instinct	3.2		4.0	
The Sims 3: Generations	7.0		3.6	
Ape Escape 2	8.2		8.4	
Sega Rally Revo	7.5		7.0	
Shin Megami Tensei: Persona 3 FES	8.9		8.3	
FIFA Soccer 2002	8.2		5.8	
Angry Birds Trilogy	6.2		4.6	
Condemned 2: Bloodshot	8.0		8.4	
Okami	9.3		9.3	
Shin Megami Tensei: Persona 3 Portable	8.9		8.3	
NHL 2001	8.8		7.7	
Crysis 3	7.6		6.5	
Buzz Lightyear of Star Command	5.4		5.3	
NHL 16	7.8		5.5	
Tony Hawk's Project 8	7.6		7.2	
Ghostbusters: The Video Game	7.9		8.5	
XCOM: Enemy Unknown	9.0		8.3	
Tony Hawk's American Wasteland	7.7		7.7	
Wild ARMs 3	7.8		8.4	
Madden NFL 07	8.2		9.2	
Tiger Woods PGA Tour 2004	8.9		8.2	
Tak 2: The Staff of Dreams	7.1		8.0	
Just Dance 3	7.5		6.0	
LEGO Pirates of the Caribbean: The Video Game	7.1		7.3	
Donkey Kong Barrel Blast	4.6		6.8	
Viewtiful Joe	9.3		8.3	
The Urbz: Sims in the City	7.2		9.2	
Guitar Hero: Metallica	8.6		8.0	
Strike Force Bowling	4.8		6.8	
Red Steel 2	8.0		8.6	
XGRA: Extreme G-Racing Association	6.8		8.6	
Mafia III	6.7		4.6	
Prince of Persia: The Forgotten Sands	7.4		7.8	
Warriors Orochi 3	7.0		7.9	
DJ Hero 2	8.8		7.5	
Tiger Woods PGA Tour 12: The Masters	8.0		6.1	
Wall-E	5.0		6.3	
Harry Potter and the Half-Blood Prince	4.8		4.3	
NieR	6.8		8.4	
2014 FIFA World Cup Brazil	7.3		4.3	
NBA 2K9	8.2		7.0	
NFL Fever 2003	7.2		8.6	
Samurai Warriors 2	5.8		8.8	
Wet	7.0		6.4	
Cooking Mama 4: Kitchen Magic!	5.6		6.0	
Scribblenauts: Unlimited	7.3		7.4	
Fire Emblem: Shadow Dragon	8.1		7.0	
Plants vs. Zombies: Garden Warfare	7.5		7.6	
Metroid Prime: Trilogy	9.1		9.3	
Robotech: Battlecry	7.2		8.5	
Disney Universe	7.0		6.9	
Jak and Daxter: The Lost Frontier	7.1		6.3	
Texas Hold 'Em Poker	4.9		6.8	
Time Crisis 3	8.1		8.1	
Vanquish	8.4		8.1	
Tearaway	8.7		8.9	
Half-Life 2	9.0		8.6	
Tony Hawk: RIDE	4.6		3.0	
Borderlands: The Pre-Sequel	7.7		6.3	
Major League Baseball 2K8	7.0		5.9	
Sacred 2: Fallen Angel	7.0		7.1	
pro evolution soccer 2011	7.9		5.9	
Major League Baseball 2K9	6.4		5.3	
Final Fantasy IV Advance	8.5		7.3	
Dragon Ball Z: Ultimate Tenkaichi	5.8		5.4	
Harry Potter and the Goblet of Fire	7.1		6.0	
Dragon Ball Z: Buu's Fury	6.2		8.9	
Spider-Man: Mysterio's Menace	8.4		8.7	
MySims Racing	6.7		7.3	
Naruto: Ultimate Ninja	7.5		7.7	
Pac-Man Party	5.9		5.9	
Tony Hawk's Underground	8.6		7.7	
Shadow The Hedgehog	4.5		6.0	
Wave Race: Blue Storm	8.0		8.3	
Aliens: Colonial Marines	4.3		3.6	
Backyard Wrestling: Don't Try This at Home	5.1		7.8	
Yakuza: Dead Souls	6.4		7.4	
Fight Night Round 2	8.8		8.8	
Dead Island: Riptide	6.2		5.9	
Kinect Sports Rivals	6.0		5.1	
NBA 2K8	7.2		6.0	
Dynasty Warriors 8	6.8		8.5	
Disney Infinity	7.1		7.6	
Secret Agent Clank	6.1		6.7	
Call of Juarez: Bound in Blood	7.7		7.6	
Fighters Uncaged	3.2		4.6	
Rayman Arena	6.3		8.6	
Jaws Unleashed	5.2		7.5	
Half-Life	8.7		8.6	
Split/Second	8.2		8.1	
The Golden Compass	4.3		4.9	
Muramasa: The Demon Blade	8.1		8.7	
Okami	9.0		8.9	
LEGO The Hobbit	7.2		6.6	
WWE 2K17	6.9		6.9	
Just Dance 2014	7.2		7.6	
NHL 15	6.0		3.6	
Total War: Shogun 2	9.0		8.3	
SimCity DS	6.9		6.3	
Hot Wheels: Stunt Track Challenge	6.2		8.1	
Monopoly	5.6		5.8	
Tony Hawk: RIDE	4.4		2.1	
Medal of Honor: Frontline	8.0		7.9	
Dead Space	8.6		8.0	
NHL 11	8.8		7.1	
Yakuza 5	8.3		8.5	
2002 FIFA World Cup	7.3		5.6	
MVP Baseball 2004	9.0		8.5	
Crash Bandicoot: The Wrath of Cortex	6.2		7.3	
WWE 2K16	7.2		5.7	
Assassin's Creed: Brotherhood	8.8		8.2	
Dead or Alive Xtreme Beach Volleyball	7.3		7.8	
Silent Hill: Shattered Memories	7.7		6.8	
Blur	8.2		8.3	
Asphalt: Urban GT	6.0		7.5	
Mega Man Anniversary Collection	8.1		9.0	
Metal Gear Solid V: Ground Zeroes	6.6		5.9	
Harvest Moon: Friends of Mineral Town	8.1		9.6	
Naruto: The Broken Bond	8.0		7.8	
WarioWare D.I.Y.	8.2		8.7	
Iron Man	4.4		7.0	
The Fight: Lights Out	4.8		7.5	
Mega Man X7	5.8		5.1	
Deus Ex: Human Revolution	9.0		8.5	
Final Fantasy Anniversary Edition	6.7		7.7	
SoulCalibur V	7.7		6.2	
Romancing SaGa	5.8		8.0	
Lost: Via Domus	5.5		6.4	
Top Spin 3	6.8		5.7	
Game Party in Motion	3.3		3.7	
The Lord of the Rings: The Third Age	7.3		8.2	
Call of Duty: Black Ops	7.4		6.0	
NCAA Football 09	8.1		7.3	
MLB 11: The Show	9.0		7.8	
Kinect Rush: A Disney Pixar Adventure	6.8		5.1	
Skylanders SWAP Force	8.9		6.0	
Terminator 3: Rise of the Machines	3.8		6.3	
Guitar Hero: Smash Hits	7.4		7.7	
Tom Clancy's HAWX	7.3		7.3	
Alice: Madness Returns	7.0		7.9	
Shin Megami Tensei IV	8.3		8.3	
NBA 2K7	8.4		7.8	
NHL 12	8.6		7.5	
Unreal Tournament	7.7		6.8	
Digimon World 2	4.2		7.6	
Prince of Persia: The Two Thrones	8.5		8.4	
JoJo's Bizarre Adventure: All Star Battle	7.1		8.3	
Contra: Shattered Soldier	7.8		6.6	
Final Fantasy: The 4 Heroes of Light	7.1		7.1	
Rayman Legends	9.1		8.7	
FIFA Soccer	7.9		7.2	
Tenchu 2: Birth of the Stealth Assassins	7.7		8.7	
Tony Hawk's Pro Skater 4	9.1		8.6	
Naruto: Uzumaki Chronicles 2	5.2		6.9	
NHL 06	7.8		8.5	
Parasite Eve II	7.9		9.0	
Skate it	7.0		8.4	
Phineas and Ferb: Across the 2nd Dimension	7.6		8.3	
Far Cry Instincts	8.5		5.7	
Tony Hawk's Pro Skater 4	8.5		8.8	
ATV Offroad Fury: Blazin' Trails	6.3		7.8	
Tales of the Abyss	7.8		8.4	
Payday 2	7.5		6.3	
Blacksite: Area 51	6.2		6.1	
Spyro Orange: The Cortex Conspiracy	6.0		7.0	
XCOM: Enemy Unknown	8.9		8.2	
Skylanders: Spyro's Adventure	8.2		4.9	
The Sims 3: World Adventures	8.1		8.0	
Madden NFL 06	8.6		8.5	
Titanfall 2	8.7		8.0	
BlazBlue: Calamity Trigger	8.7		8.4	
Iron Man	4.5		5.9	
Naruto: Ultimate Ninja 2	7.3		7.9	
NHL 10	8.8		7.9	
Rock Band 3	9.1		8.0	
Blood Wake	7.1		7.5	
Dynasty Warriors 5: Xtreme Legends	5.7		9.1	
WWE 2K15	5.6		5.7	
FIFA World Cup Germany 2006	7.7		8.1	
Wreckless: ThE YaKuza MisSiOns	7.4		5.2	
Defiance	6.0		7.2	
Disgaea 4: A Promise Unforgotten	8.0		7.8	
SpongeBob SquarePants: Battle for Bikini Bottom	7.0		8.9	
Doom 3 BFG Edition	6.7		6.4	
Spider-Man 3	6.3		7.0	
Pro Evolution Soccer 2012	7.4		6.3	
The Conduit	6.9		8.2	
Just Dance 2016	7.3		6.9	
Disney Universe	6.6		5.3	
RalliSport Challenge	8.7		8.3	
Resident Evil Outbreak File #2	5.8		7.7	
Top Spin 3	7.5		7.5	
XIII	7.3		8.6	
Tomb Raider: Anniversary	7.8		8.2	
Rune Factory 4	7.8		8.1	
3D Dot Game Heroes	7.7		8.0	
Up	6.2		8.0	
Breath of Fire IV	8.3		8.9	
True Crime: Streets of LA	7.7		7.3	
Odin Sphere	8.3		8.6	
Titanfall	8.6		6.2	
Arena Football	6.6		8.6	
The Lord of the Rings: The Return of the King	7.7		8.2	
NHL Hitz 20-02	7.8		7.6	
The Legend of Spyro: Dawn of the Dragon	6.4		6.5	
Classic NES Series: Dr. Mario	6.6		7.5	
The Sims: Bustin' Out	8.1		8.9	
NCAA March Madness 07	6.3		8.6	
Monsters, Inc. Scream Team	6.5		6.9	
Warhammer 40,000: Space Marine	7.6		7.8	
Top Spin 3	7.8		7.6	
Cabela's Big Game Hunter 2005 Adventures	5.5		8.4	
LEGO Rock Band	7.1		7.2	
Battlefield 2: Modern Combat	8.0		8.2	
Tom Clancy's HAWX	7.4		8.1	
All-Star Baseball 2002	7.7		7.6	
Need for Speed: Most Wanted	8.0		9.1	
Bolt	5.0		5.8	
WWE Raw 2	6.8		7.3	
Manhunt 2	6.7		7.8	
Fullmetal Alchemist and the Broken Angel	5.6		8.1	
Tony Hawk's Project 8	6.8		7.6	
Batman Begins	6.4		7.3	
Tony Hawk's Proving Ground	7.2		5.4	
Dr. Seuss' The Cat in the Hat	5.6		6.5	
Barbie Groovy Games	4.7		7.0	
Wolfenstein	7.2		7.5	
Blinx: The Time Sweeper	7.1		8.0	
ESPN NFL Football	9.1		8.5	
Major League Baseball 2K5	8.1		8.2	
Tetris Party Deluxe	7.2		5.8	
Gravity Rush	8.3		8.5	
Quantum Break	7.7		6.8	
Archer Maclean's Mercury	7.5		6.6	
TMNT	5.8		6.3	
Soldier of Fortune: Gold Edition	5.9		6.8	
Final Fantasy IV: The Complete Collection	7.7		7.5	
Frontlines: Fuel of War	7.5		7.8	
MX 2002 Featuring Ricky Carmichael	7.6		8.3	
NCAA Football 07	8.8		6.9	
Lunar: Silver Star Story Complete	7.8		9.1	
Harvest Moon: The Tale of Two Towns	6.8		7.5	
No More Heroes	8.3		8.4	
God of War: Origins Collection	8.4		8.4	
Dora The Explorer: Dora Saves the Snow Princess	4.7		7.0	
Soul Reaver 2	8.0		8.5	
Metal Gear Solid 3: Subsistence	9.4		9.3	
Enslaved: Odyssey to the West	8.0		7.4	
WWF Raw	6.8		6.6	
Guitar Hero Live	8.1		5.1	
Extermination	6.7		7.8	
Batman: Vengeance	6.8		6.7	
Hot Shots Golf: World Invitational	7.6		8.1	
Tony Hawk's Pro Skater 3	9.3		8.4	
Mega Man Zero	8.2		8.9	
Resident Evil: Revelations 2	7.5		7.7	
NBA 2K8	8.1		6.8	
Rayman Origins	9.2		8.3	
Assassin's Creed: Unity	7.0		3.0	
MX vs. ATV: Alive	6.3		7.2	
Shrek 2	7.2		8.4	
Purr Pals	6.7		6.8	
Assassin's Creed II	8.6		6.9	
Tak and the Power of Juju	7.9		9.2	
Lips: Number One Hits	7.0		7.6	
Turok: Evolution	6.8		6.7	
Jak X: Combat Racing	7.6		7.7	
American Idol	4.1		4.8	
Red Dead Revolver	7.4		8.5	
CrossworDS	6.7		6.8	
Viva Pinata: Pocket Paradise	8.2		7.1	
Sly Cooper: Thieves in Time	7.5		8.3	
Iron Man	4.7		5.6	
Spec Ops: The Line	7.7		8.0	
The SpongeBob SquarePants Movie	7.4		8.5	
NHL 14	8.0		6.0	
F1 2013	7.7		6.3	
Legends of WrestleMania	7.0		6.5	
Tiger Woods PGA Tour 08	8.0		7.8	
Dance Dance Revolution Ultramix	8.2		8.8	
Crash Tag Team Racing	6.6		7.0	
Front Mission 4	7.5		8.6	
Rayman Origins	8.8		8.4	
F.E.A.R.	7.2		7.4	
Enslaved: Odyssey to the West	8.2		7.8	
Dragon Ball Z: Shin Budokai	7.0		8.1	
Tiger Woods PGA Tour 13	7.5		5.7	
Dynasty Warriors: Gundam 3	5.8		7.5	
Tiger Woods PGA Tour 11	8.4		8.3	
NBA Live 10	8.1		7.5	
Metro 2033	7.7		7.9	
Fire Emblem: Path of Radiance	8.5		8.9	
Hotel Dusk: Room 215	7.8		8.6	
Final Fantasy Explorers	6.9		7.0	
SSX Tricky	8.7		8.6	
Greg Hastings' Tournament Paintball	7.4		9.2	
ESPN NBA Basketball	8.9		8.4	
Dragon Ball Z: Ultimate Tenkaichi	5.5		5.8	
Sacred 2: Fallen Angel	7.1		7.3	
Two Worlds II	6.7		6.6	
Over the Hedge	5.8		8.6	
Mat Hoffman's Pro BMX	8.0		8.6	
NHL 14	8.1		5.9	
The Hobbit	5.9		8.6	
War of the Monsters	8.0		8.9	
Harry Potter and the Deathly Hallows - Part 1	4.1		5.0	
The Incredible Hulk: Ultimate Destruction	8.3		8.7	
Time Crisis: Razing Storm	5.8		5.9	
Summer Sports: Paradise Island	4.6		4.6	
Time Crisis II	8.1		7.9	
NCAA March Madness 06	7.8		9.1	
LEGO Dimensions	6.2		6.5	
Valkyria Chronicles II	8.3		8.1	
Tatsunoko vs. Capcom: Ultimate All-Stars	8.5		8.8	
Rune Factory: A Fantasy Harvest Moon	7.8		8.1	
Legacy of Kain: Defiance	7.5		9.3	
NCAA March Madness 2005	7.8		8.3	
007 Racing	5.1		4.6	
Tactics Ogre: Let Us Cling Together	8.7		8.8	
Conflict: Vietnam	5.8		8.1	
Dragon's Crown	8.2		8.3	
MLB SlugFest 20-04	7.8		8.3	
Blitz: The League	7.8		7.7	
Manhunt 2	6.2		7.1	
Just Dance 2015	7.0		7.5	
The LEGO Movie Videogame	6.9		6.9	
Overwatch	9.1		6.8	
Peter Jackson's King Kong: The Official Game of the Movie	8.2		8.5	
Burnout Revenge	8.9		8.4	
Medal of Honor: European Assault	7.2		7.0	
Ty the Tasmanian Tiger 2: Bush Rescue	7.1		8.2	
The Lord of the Rings: The Fellowship of the Ring	5.9		6.6	
NBA 06	6.3		6.3	
Excite Truck	7.2		8.4	
Magician's Quest: Mysterious Times	6.9		7.6	
X-Men Legends	8.1		8.5	
StarCraft II: Legacy of the Void	8.8		8.3	
ModNation Racers	7.3		7.7	
WWE SmackDown vs. Raw 2010	7.5		8.3	
Oni	6.9		7.8	
Tom Clancy's Ghost Recon Advanced Warfighter 2	6.1		6.4	
SpongeBob SquarePants featuring Nicktoons: Globs of Doom	4.7		5.4	
Terminator Salvation	4.3		3.9	
The Lord of the Rings: The Two Towers	8.2		8.7	
Batman: Arkham City	9.1		8.6	
Juiced	6.8		7.7	
The Warriors	8.4		8.5	
Star Fox Command	7.6		7.3	
Bulletstorm	8.3		7.7	
Return to Castle Wolfenstein: Operation Resurrection	6.6		8.0	
Mario Tennis: Power Tour	8.1		8.0	
Seaman	8.2		8.4	
Michael Jackson: The Experience	6.6		8.4	
Stuntman: Ignition	7.6		6.2	
F.E.A.R. 2: Project Origin	7.7		8.0	
Mystery Dungeon: Shiren the Wanderer	6.9		8.2	
GT Pro Series	4.1		4.0	
Tiger Woods PGA Tour 11	7.9		7.8	
The Golden Compass	4.6		5.2	
Final Fantasy Chronicles	8.9		9.1	
F1 2009	6.8		7.2	
Syphon Filter 3	7.3		8.5	
Metal Gear Solid 2: Substance	8.7		9.0	
Tales of Symphonia: Dawn of the New World	6.8		7.1	
NBA Live 08	7.3		5.3	
We Love Katamari	8.6		8.9	
Sesame Street: Once Upon A Monster	7.9		6.9	
NCAA Football 2003	9.0		8.2	
We Cheer	5.6		7.3	
Madden NFL 07	7.6		4.2	
LEGO Jurassic World	7.1		8.1	
NBA Live 09	7.5		7.8	
Rory McIlroy PGA Tour	6.1		3.7	
SingStar Dance	6.5		3.9	
Lords of the Fallen	6.8		6.6	
Tomb Raider: Legend	8.2		7.1	
Freedom Fighters	8.1		8.4	
Silent Hill: Origins	7.8		7.8	
Gun	7.9		7.8	
Fight Night Round 3	7.4		8.1	
The Punisher	6.8		8.2	
Kirby and the Rainbow Curse	7.3		8.0	
SSX On Tour	8.0		7.9	
Disgaea 3: Absence of Justice	7.8		7.5	
Tony Hawk's Pro Skater 3	9.0		8.0	
Way of the Samurai 3	5.8		7.9	
The Sims 2: Open for Business	7.8		8.6	
Rune Factory 2: A Fantasy Harvest Moon	7.7		7.9	
Harry Potter and the Prisoner of Azkaban	6.9		8.1	
SimAnimals	7.0		7.5	
NBA Live 2002	8.1		8.8	
Way of the Samurai	7.4		8.2	
The 3rd Birthday	7.1		6.1	
Kung Fu Panda	7.6		7.3	
Epic Mickey 2: The Power of Two	5.9		5.5	
Pac-Man Fever	4.7		6.3	
Spectrobes: Beyond the Portals	7.0		7.7	
HSX HyperSonic.Xtreme	5.3		8.4	
Lair	5.3		6.4	
Madden NFL 2004	9.4		7.7	
