Name	Critic_Score	Critic_Count	User_Score	User_Count
Tony Hawk's Pro Skater 2	9.8		7.7	
The Lord of the Rings: The Two Towers	8.2		8.2	
Tomb Raider	9.1		8.6	
Animal Crossing: City Folk	7.3		7.6	
Uncharted: The Nathan Drake Collection	8.6		8.1	
The Legend of Zelda: The Wind Waker	9.6		8.9	
Guitar Hero III: Legends of Rock	8.6		8.4	
Luigi's Mansion: Dark Moon	8.6		8.4	
Forza Motorsport 4	9.1		8.2	
Madden NFL 2005	9.1		7.9	
Guitar Hero III: Legends of Rock	8.5		7.9	
Madden NFL 07	8.4		8.2	
Halo 5: Guardians	8.4		6.4	
Spider-Man: The Movie	7.6		7.9	
Call of Duty: Infinite Warfare	7.7		3.4	
God of War	9.4		8.9	
Splatoon	8.1		8.5	
Nintendo Land	7.7		7.9	
Tony Hawk's Pro Skater 3	9.7		7.5	
Winning Eleven: Pro Evolution Soccer 2007	8.6		8.9	
The Elder Scrolls IV: Oblivion	9.4		8.7	
Need for Speed: Most Wanted	8.2		9.1	
Michael Jackson: The Experience	5.6		8.3	
Resistance: Fall of Man	8.6		8.1	
Kingdom Hearts II	8.7		9.0	
Super Mario 3D World	9.3		9.0	
Fable II	8.9		6.5	
Namco Museum	7.9		7.3	
Batman: Arkham Asylum	9.1		8.9	
Metal Gear Solid 3: Snake Eater	9.1		9.3	
Assassin's Creed: Revelations	8.0		7.5	
Fallout 4	8.8		6.2	
FIFA 14	8.4		4.2	
Daxter	8.5		8.7	
FIFA Soccer 06	8.0		7.8	
EyeToy Play	8.0		7.5	
Gran Turismo 5 Prologue	8.0		7.1	
Assassin's Creed: Revelations	8.0		7.2	
Street Fighter IV	9.4		7.3	
Madden NFL 2003	9.5		7.7	
Half-Life	9.6		9.1	
World of Warcraft: The Burning Crusade	9.1		7.9	
Battlefield 1	8.8		8.4	
God of War II	9.3		8.9	
Fallout: New Vegas	8.4		8.1	
Forza Motorsport 2	9.0		8.3	
Carnival Games	5.6		6.0	
Watch Dogs	8.0		6.3	
Tekken Tag Tournament	8.5		8.5	
Far Cry 4	8.5		7.7	
Left 4 Dead 2	8.9		8.6	
The Witcher 3: Wild Hunt	9.2		9.2	
Assassin's Creed: Unity	7.0		4.9	
Batman: Arkham Knight	8.7		7.6	
The Legend of Zelda: Skyward Sword	9.3		8.0	
Fallout 3	9.0		8.0	
Professor Layton and the Diabolical Box	8.4		8.8	
EA Sports Active	8.1		8.7	
Tony Hawk's Underground	9.0		8.7	
Monster Hunter 4 Ultimate	8.6		8.7	
The Elder Scrolls V: Skyrim	9.4		8.1	
NBA 2K16	8.7		6.7	
Tekken 5	8.8		8.6	
MotorStorm	8.4		7.4	
World Soccer Winning Eleven 8 International	9.1		9.1	
Sports Champions	7.6		7.9	
Call of Duty: Ghosts	7.8		3.7	
Flash Focus: Vision Training in Minutes a Day	5.9		4.0	
Tom Clancy's The Division	8.0		7.0	
Big Brain Academy: Wii Degree	6.8		6.9	
LEGO Indiana Jones: The Original Adventures	7.7		7.5	
The Sims: Unleashed	7.9		8.0	
Harry Potter and the Sorcerer's Stone	6.4		7.5	
Super Paper Mario	8.5		7.9	
Spyro: Year of the Dragon	9.1		8.8	
Assassin's Creed IV: Black Flag	8.8		8.1	
FIFA Soccer 2005	8.1		7.6	
Tony Hawk's Pro Skater 4	9.4		8.5	
MySims	6.7		7.3	
Midnight Club 3: DUB Edition	7.4		8.4	
SOCOM: U.S. Navy SEALs	8.2		7.9	
Jak and Daxter: The Precursor Legacy	9.0		8.7	
Pro Evolution Soccer 2008	8.2		7.9	
Resident Evil 4	9.6		8.9	
Guitar Hero: World Tour	8.6		7.6	
FIFA Soccer 10	9.1		7.6	
Star Wars: Battlefront	8.2		8.7	
The Simpsons: Road Rage	6.4		7.7	
Luigi's Mansion	7.8		8.5	
Battlefield 4	8.5		6.9	
Star Wars: Battlefront II	8.4		9.0	
Cooking Mama 2: Dinner With Friends	7.0		8.0	
Grand Theft Auto: Liberty City Stories	7.8		7.8	
The Getaway	7.2		6.8	
James Bond 007: Agent Under Fire	7.2		7.9	
FIFA Soccer 11	8.8		7.5	
Left 4 Dead	8.9		7.9	
Assassin's Creed: Unity	7.2		4.1	
Resident Evil 5	8.3		7.5	
Assassin's Creed: Brotherhood	8.9		8.3	
Battlefield 4	8.0		5.8	
Batman: Arkham Asylum	9.2		8.7	
Battlefield 4	7.9		5.6	
Battlefield: Bad Company 2	8.8		8.6	
Guitar Hero: On Tour	7.1		8.8	
Clubhouse Games	8.3		8.4	
Borderlands	8.4		8.2	
Tekken 4	7.9		8.3	
Grand Theft Auto 2	7.0		8.0	
Metal Gear Solid V: The Phantom Pain	9.3		8.2	
Spider-Man 2	8.0		8.9	
FIFA Soccer 2003	8.8		6.7	
LittleBigPlanet 2	9.1		8.4	
Crash Bash	6.8		8.2	
Assassin's Creed Syndicate	7.6		6.8	
LEGO Batman: The Videogame	7.6		7.9	
Destiny	7.5		5.5	
Far Cry 3	9.0		8.5	
James Bond 007: Nightfire	7.7		8.5	
Star Wars Episode III: Revenge of the Sith	6.0		7.2	
The Legend of Zelda: Spirit Tracks	8.7		7.8	
Max Payne	8.0		8.5	
Assassin's Creed IV: Black Flag	8.6		7.9	
The Lord of the Rings: The Return of the King	8.5		8.7	
Gears of War: Ultimate Edition	8.2		7.5	
True Crime: Streets of LA	7.7		8.0	
Professor Layton and the Unwound Future	8.6		9.2	
FIFA 16	8.4		4.4	
Wii Music	6.3		4.6	
Madden NFL 16	8.3		5.9	
