Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Big Brain Academy	1.328	2.2	1.2800000000000002	0.496	5.296
Red Dead Redemption	2.232	2.024	0.136	0.792	5.192
FIFA 14	0.6240000000000001	3.3920000000000003	0.056	1.096	5.176
Assassin's Creed III	2.112	2.016	0.128	0.8960000000000001	5.16
Donkey Kong Country Returns	2.536	1.4320000000000002	0.8240000000000001	0.368	5.152000000000001
Halo: Combat Evolved	3.984	1.04	0.064	0.056	5.144
The Elder Scrolls V: Skyrim	2.04	2.08	0.2	0.8	5.128
Pokémon Emerald Version	2.056	1.2640000000000002	1.648	0.168	5.128
Kingdom Hearts	2.9120000000000004	0.96	1.192	0.056	5.120000000000001
Halo 3: ODST	3.472	1.072	0.048	0.488	5.072
Red Dead Redemption	2.9600000000000004	1.56	0.072	0.4639999999999999	5.056000000000001
Super Mario Sunshine	3.208	1.008	0.6960000000000001	0.136	5.048
World of Warcraft	0.064	4.968	0.0	0.0	5.032
Driver	2.488	2.24	0.016	0.264	5.016
Gears of War 3	3.24	1.2720000000000002	0.056	0.4	4.968
Kinect Sports	3.136	1.384	0.024	0.408	4.952000000000001
Gears of War	2.8320000000000003	1.504	0.056	0.48	4.872
FIFA 15	0.6400000000000001	3.4640000000000004	0.04	0.7200000000000001	4.864000000000001
Metal Gear Solid 2: Sons of Liberty	1.96	1.608	0.6960000000000001	0.576	4.84
Metal Gear Solid	2.5440000000000005	1.4640000000000002	0.6240000000000001	0.192	4.824000000000001
Metal Gear Solid 4: Guns of the Patriots	2.104	1.368	0.664	0.656	4.792000000000001
Final Fantasy XII	1.504	0.0	1.864	1.392	4.760000000000001
The Last of Us	1.928	1.7440000000000002	0.224	0.792	4.696000000000001
LittleBigPlanet	2.24	1.584	0.136	0.6960000000000001	4.656000000000001
Resident Evil 2	1.504	1.176	1.616	0.36	4.656000000000001
Dragon Quest IX: Sentinels of the Starry Skies	0.504	0.536	3.48	0.12	4.6240000000000006
Tekken 2	1.808	1.512	1.088	0.184	4.5920000000000005
Destiny	1.992	1.656	0.128	0.7360000000000001	4.512
LEGO Star Wars: The Complete Saga	2.856	1.2400000000000002	0.0	0.408	4.512
Cooking Mama	2.456	1.528	0.056	0.4559999999999999	4.504
Assassin's Creed II	2.032	1.544	0.168	0.6880000000000001	4.44
Assassin's Creed	2.624	1.312	0.056	0.448	4.432
Forza Motorsport 3	2.3920000000000003	1.52	0.08	0.4	4.392
Super Mario Advance	2.5120000000000005	0.992	0.7280000000000001	0.16	4.392
Monster Hunter Freedom Unite	0.376	0.44	3.3040000000000003	0.272	4.384
Batman: Arkham City	2.168	1.4800000000000002	0.088	0.6480000000000001	4.384
Grand Theft Auto V	2.248	1.752	0.0	0.376	4.384
Mario Kart: Super Circuit	2.096	1.312	0.792	0.184	4.376
Crash Bandicoot: The Wrath of Cortex	1.656	1.832	0.192	0.656	4.336
Call of Duty: World at War	2.184	1.4640000000000002	0.0	0.664	4.312
Uncharted 4: A Thief's End	1.4800000000000002	2.0	0.152	0.68	4.304
Final Fantasy XIII	1.392	0.968	1.4960000000000002	0.408	4.264
Final Fantasy IX	1.2960000000000005	0.6160000000000001	2.224	0.112	4.24
Assassin's Creed III	2.504	1.352	0.024	0.352	4.232
Final Fantasy X-2	1.536	0.8640000000000001	1.688	0.136	4.232
Call of Duty: Advanced Warfare	2.5760000000000005	1.2400000000000002	0.008	0.384	4.216
Assassin's Creed II	2.488	1.2400000000000002	0.064	0.408	4.208
New Super Mario Bros. U	1.84	1.072	1.016	0.256	4.176
Dragon Quest VIII: Journey of the Cursed King	0.52	0.6000000000000001	2.888	0.16	4.168
Professor Layton and the Curious Village	0.968	1.944	0.8240000000000001	0.416	4.152
FIFA Soccer 13	0.8720000000000001	2.776	0.024	0.4559999999999999	4.128
Diablo III	1.952	1.7280000000000002	0.0	0.432	4.112
Medal of Honor: Rising Sun	1.584	1.784	0.104	0.6400000000000001	4.104
Guitar Hero II	3.048	0.504	0.0	0.544	4.096
Fable III	2.872	0.8640000000000001	0.04	0.304	4.08
Resident Evil 5	1.568	1.128	0.8640000000000001	0.512	4.072
The Legend of Zelda: Phantom Hourglass	1.4800000000000002	1.4400000000000002	0.76	0.384	4.064
FIFA Soccer 11	0.488	2.624	0.048	0.8960000000000001	4.056
Resident Evil	1.64	0.928	0.8880000000000001	0.584	4.04
Grand Theft Auto: Vice City Stories	1.36	1.592	0.128	0.944	4.024
