Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
6,2009.0,8,26,0.792,5.136,0.0,0.48,6.408,8.6,7.6,1
12,1999.0,3,82,1.824,1.376,2.904,0.184,6.288,9.0,8.6,1
4,2008.0,3,60,2.208,1.376,2.152,0.432,6.176,8.3,8.5,0
8,2005.0,0,89,2.32,2.248,0.192,1.384,6.152000000000001,8.8,7.6,2
11,2014.0,2,3,2.248,2.7840000000000003,0.112,0.984,6.128,8.3,5.7,2
11,2016.0,1,26,0.528,4.6000000000000005,0.064,0.8880000000000001,6.072,8.5,5,0
7,2010.0,6,60,2.8480000000000003,1.88,0.784,0.496,6.008,9.7,9.1,0
1,2008.0,2,3,3.848,1.504,0.0,0.5519999999999999,5.904,8.4,7.6,2
1,2011.0,2,26,3.568,1.688,0.048,0.5519999999999999,5.856000000000001,8.4,7.4,2
0,2003.0,4,26,2.616,2.264,0.064,0.8160000000000001,5.760000000000001,8.5,8.6,0
7,2009.0,5,94,2.7840000000000003,2.3920000000000003,0.0,0.584,5.760000000000001,4.9,8,3
2,2011.0,2,26,2.28,2.3120000000000003,0.2799999999999999,0.8640000000000001,5.736000000000001,8.5,7.5,2
11,2015.0,3,11,2.024,2.616,0.192,0.904,5.728000000000001,8.7,6.5,2
12,1998.0,7,76,2.616,1.7760000000000002,1.12,0.2319999999999999,5.728000000000001,9.6,9.1,1
7,2006.0,0,60,2.9920000000000004,1.7120000000000002,0.48,0.544,5.720000000000001,9.5,9,1
12,1998.0,6,76,2.9440000000000004,1.4,1.136,0.224,5.704000000000001,9.1,8.9,0
16,2014.0,4,60,2.52,1.72,1.024,0.408,5.672000000000001,8.8,9.1,0
9,2001.0,7,60,3.5280000000000005,0.8320000000000001,1.112,0.176,5.656000000000001,9.2,9.1,1
0,2004.0,4,26,2.168,2.4160000000000004,0.064,0.8720000000000001,5.5200000000000005,8.2,8.6,0
0,2002.0,2,26,2.3440000000000003,2.2,0.136,0.792,5.464,8.8,8.5,1
7,2012.0,5,94,3.24,1.7280000000000002,0.0,0.44,5.408,7.4,7.3,3
1,2008.0,2,54,3.3200000000000003,1.52,0.048,0.512,5.4,9.3,7.7,2
2,2011.0,0,76,2.216,2.2,0.152,0.8240000000000001,5.392,9.2,8.3,1
2,2007.0,2,3,2.488,1.808,0.224,0.8240000000000001,5.344,9.4,8.4,2
2,2009.0,0,76,2.616,1.7600000000000002,0.168,0.784,5.328,9.6,8.8,1
4,2005.0,5,60,1.328,2.2,1.2800000000000002,0.496,5.296,7.4,7.4,0
2,2010.0,0,89,2.232,2.024,0.136,0.792,5.192,9.5,8.8,2
2,2013.0,1,26,0.6240000000000001,3.3920000000000003,0.056,1.096,5.176,8.6,4.3,0
2,2012.0,0,94,2.112,2.016,0.128,0.8960000000000001,5.16,8.5,6.9,2
7,2010.0,6,60,2.536,1.4320000000000002,0.8240000000000001,0.368,5.152000000000001,8.7,8.6,0
5,2001.0,2,54,3.984,1.04,0.064,0.056,5.144,9.7,8.6,2
2,2011.0,3,11,2.04,2.08,0.2,0.8,5.128,9.2,6.4,2
