Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Red Dead Redemption	X360	2010.0	Action	Take-Two Interactive		M
Super Mario Sunshine	GC	2002.0	Platform	Nintendo		E
World of Warcraft	PC	2004.0	Role-Playing	Activision		T
Driver	PS	1999.0	Action	GT Interactive		T
Gears of War 3	X360	2011.0	Shooter	Microsoft Game Studios		M
Kinect Sports	X360	2010.0	Sports	Microsoft Game Studios		E10+
Gears of War	X360	2006.0	Shooter	Microsoft Game Studios		M
FIFA 15	PS4	2014.0	Sports	Electronic Arts		E
Metal Gear Solid 2: Sons of Liberty	PS2	2001.0	Action	Konami Digital Entertainment		M
Metal Gear Solid	PS	1998.0	Action	Konami Digital Entertainment		M
Metal Gear Solid 4: Guns of the Patriots	PS3	2008.0	Action	Konami Digital Entertainment		M
Final Fantasy XII	PS2	2006.0	Role-Playing	Square Enix		T
The Last of Us	PS3	2013.0	Action	Sony Computer Entertainment Europe		M
LittleBigPlanet	PS3	2008.0	Platform	Sony Computer Entertainment		E
Resident Evil 2	PS	1998.0	Action	Virgin Interactive		M
Dragon Quest IX: Sentinels of the Starry Skies	DS	2009.0	Role-Playing	Nintendo		E10+
Tekken 2	PS	1996.0	Fighting	Sony Computer Entertainment		T
Destiny	PS4	2014.0	Shooter	Activision		T
LEGO Star Wars: The Complete Saga	Wii	2007.0	Action	LucasArts		E10+
Cooking Mama	DS	2006.0	Simulation	505 Games		E
Assassin's Creed II	PS3	2009.0	Action	Ubisoft		M
Assassin's Creed	X360	2007.0	Adventure	Ubisoft		M
Forza Motorsport 3	X360	2009.0	Racing	Microsoft Game Studios		E
Super Mario Advance	GBA	2001.0	Platform	Nintendo		E
Monster Hunter Freedom Unite	PSP	2008.0	Role-Playing	Capcom		T
Batman: Arkham City	PS3	2011.0	Action	Warner Bros. Interactive Entertainment		T
Grand Theft Auto V	XOne	2014.0	Action	Take-Two Interactive		M
Mario Kart: Super Circuit	GBA	2001.0	Racing	Nintendo		E
Crash Bandicoot: The Wrath of Cortex	PS2	2001.0	Platform	Universal Interactive		E
Call of Duty: World at War	PS3	2008.0	Shooter	Activision		M
Uncharted 4: A Thief's End	PS4	2016.0	Shooter	Sony Computer Entertainment		T
Final Fantasy XIII	PS3	2009.0	Role-Playing	Square Enix		T
Final Fantasy IX	PS	2000.0	Role-Playing	SquareSoft		T
Assassin's Creed III	X360	2012.0	Action	Ubisoft		M
Final Fantasy X-2	PS2	2003.0	Role-Playing	Electronic Arts		T
Call of Duty: Advanced Warfare	XOne	2014.0	Shooter	Activision		M
Assassin's Creed II	X360	2009.0	Action	Ubisoft		M
New Super Mario Bros. U	WiiU	2012.0	Platform	Nintendo		E
Dragon Quest VIII: Journey of the Cursed King	PS2	2004.0	Role-Playing	Square Enix		T
Professor Layton and the Curious Village	DS	2007.0	Puzzle	Nintendo		E
FIFA Soccer 13	X360	2012.0	Action	Electronic Arts		E
Diablo III	PC	2012.0	Role-Playing	Activision		M
Medal of Honor: Rising Sun	PS2	2003.0	Shooter	Electronic Arts		T
Guitar Hero II	PS2	2006.0	Misc	RedOctane		T
Fable III	X360	2010.0	Role-Playing	Microsoft Game Studios		M
Resident Evil 5	PS3	2009.0	Action	Capcom		M
The Legend of Zelda: Phantom Hourglass	DS	2007.0	Action	Nintendo		E
FIFA Soccer 11	PS3	2010.0	Sports	Electronic Arts		E
Resident Evil	PS	1996.0	Action	Virgin Interactive		M
Grand Theft Auto: Vice City Stories	PSP	2006.0	Action	Take-Two Interactive		M
Tony Hawk's Pro Skater	PS	1999.0	Sports	Activision		T
Guitar Hero III: Legends of Rock	PS2	2007.0	Misc	Activision		T
Link's Crossbow Training	Wii	2007.0	Shooter	Nintendo		T
Fallout 3	X360	2008.0	Role-Playing	Bethesda Softworks		M
Uncharted: Drake's Fortune	PS3	2007.0	Action	Sony Computer Entertainment		T
Madden NFL 06	PS2	2005.0	Sports	Electronic Arts		E
StarCraft II: Wings of Liberty	PC	2010.0	Strategy	Activision		T
Assassin's Creed	PS3	2007.0	Adventure	Ubisoft		M
God of War III	PS3	2010.0	Action	Sony Computer Entertainment		M
Crash Team Racing	PS	1999.0	Racing	Sony Computer Entertainment		E
LEGO Star Wars: The Complete Saga	DS	2007.0	Action	LucasArts		E
Driver 2	PS	2000.0	Action	Atari		T
Batman: Arkham City	X360	2011.0	Action	Warner Bros. Interactive Entertainment		T
Tony Hawk's Pro Skater 2	PS	2000.0	Sports	Activision		T
The Lord of the Rings: The Two Towers	PS2	2002.0	Action	Electronic Arts		T
Tomb Raider	PS	1996.0	Action	Eidos Interactive		T
Animal Crossing: City Folk	Wii	2008.0	Simulation	Nintendo		E
Uncharted: The Nathan Drake Collection	PS4	2015.0	Action	Sony Computer Entertainment		T
The Legend of Zelda: The Wind Waker	GC	2002.0	Action	Nintendo		E
Guitar Hero III: Legends of Rock	Wii	2007.0	Misc	Activision		T
Luigi's Mansion: Dark Moon	3DS	2013.0	Action	Nintendo		E
Forza Motorsport 4	X360	2011.0	Racing	Microsoft Game Studios		E
Madden NFL 2005	PS2	2004.0	Sports	Electronic Arts		E
Guitar Hero III: Legends of Rock	X360	2007.0	Misc	Activision		T
Madden NFL 07	PS2	2006.0	Sports	Electronic Arts		E
Halo 5: Guardians	XOne	2015.0	Shooter	Microsoft Game Studios		T
Spider-Man: The Movie	PS2	2002.0	Action	Activision		E
Call of Duty: Infinite Warfare	PS4	2016.0	Shooter	Activision		M
God of War	PS2	2005.0	Action	Sony Computer Entertainment		M
Splatoon	WiiU	2015.0	Shooter	Nintendo		E10+
Nintendo Land	WiiU	2012.0	Misc	Nintendo		E10+
Tony Hawk's Pro Skater 3	PS2	2001.0	Sports	Activision		T
Winning Eleven: Pro Evolution Soccer 2007	PS2	2006.0	Sports	Konami Digital Entertainment		E
The Elder Scrolls IV: Oblivion	X360	2006.0	Role-Playing	Take-Two Interactive		M
Need for Speed: Most Wanted	PS2	2005.0	Racing	Electronic Arts		T
Michael Jackson: The Experience	Wii	2010.0	Misc	Ubisoft		E10+
Resistance: Fall of Man	PS3	2006.0	Shooter	Sony Computer Entertainment		M
Kingdom Hearts II	PS2	2005.0	Role-Playing	Square Enix		E10+
Super Mario 3D World	WiiU	2013.0	Platform	Nintendo		E
Fable II	X360	2008.0	Role-Playing	Microsoft Game Studios		M
Namco Museum	GBA	2001.0	Misc	Namco Bandai Games		E
Batman: Arkham Asylum	PS3	2009.0	Action	Eidos Interactive		T
Metal Gear Solid 3: Snake Eater	PS2	2004.0	Action	Konami Digital Entertainment		M
Assassin's Creed: Revelations	PS3	2011.0	Action	Ubisoft		M
Fallout 4	XOne	2015.0	Role-Playing	Bethesda Softworks		M
FIFA 14	X360	2013.0	Sports	Electronic Arts		E
Daxter	PSP	2006.0	Platform	Sony Computer Entertainment		E10+
FIFA Soccer 06	PS2	2005.0	Sports	Electronic Arts		E
EyeToy Play	PS2	2003.0	Misc	Sony Computer Entertainment		E
Gran Turismo 5 Prologue	PS3	2007.0	Racing	Sony Computer Entertainment		E
Assassin's Creed: Revelations	X360	2011.0	Action	Ubisoft		M
Street Fighter IV	PS3	2009.0	Fighting	Capcom		T
Madden NFL 2003	PS2	2002.0	Sports	Electronic Arts		E
Half-Life	PC	1997.0	Shooter	Vivendi Games		M
World of Warcraft: The Burning Crusade	PC	2007.0	Role-Playing	Activision		T
Battlefield 1	PS4	2016.0	Shooter	Electronic Arts		M
God of War II	PS2	2007.0	Action	Sony Computer Entertainment		M
Fallout: New Vegas	X360	2010.0	Role-Playing	Bethesda Softworks		M
Forza Motorsport 2	X360	2007.0	Racing	Microsoft Game Studios		E
Carnival Games	Wii	2007.0	Misc	Take-Two Interactive		E
Watch Dogs	PS4	2014.0	Action	Ubisoft		M
