Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Rage	PS3	2011.0	Shooter	Bethesda Softworks		M
LEGO Harry Potter: Years 1-4	PS3	2010.0	Action	Warner Bros. Interactive Entertainment		E10+
Madagascar	PS2	2005.0	Platform	Activision		E10+
The Witcher 3: Wild Hunt	XOne	2015.0	Role-Playing	Namco Bandai Games		M
Turok: Evolution	PS2	2002.0	Shooter	Acclaim Entertainment		M
[Prototype]	X360	2009.0	Action	Activision		M
Burnout 3: Takedown	XB	2004.0	Racing	Electronic Arts		T
The Beatles: Rock Band	X360	2009.0	Misc	MTV Games		T
NBA Live 07	PS2	2006.0	Sports	Electronic Arts		E
Yoshi's Woolly World	WiiU	2015.0	Platform	Nintendo		E
Skylanders Giants	X360	2012.0	Action	Activision		E10+
SingStar '80s	PS2	2005.0	Misc	Sony Computer Entertainment		T
Tekken 6	X360	2009.0	Fighting	Namco Bandai Games		T
Assassin's Creed Syndicate	XOne	2015.0	Action	Ubisoft		M
Pokemon Ranger: Guardian Signs	DS	2010.0	Role-Playing	Nintendo		E
LEGO Batman: The Videogame	PS3	2008.0	Action	Warner Bros. Interactive Entertainment		E10+
Crysis 2	PS3	2011.0	Action	Electronic Arts		M
Pirates of the Caribbean: The Curse of the Black Pearl	GBA	2003.0	Platform	TDK Mediactive		E
Namco Museum DS	DS	2007.0	Misc	Atari		E
Deal or No Deal	Wii	2009.0	Misc	Zoo Games		E
Transformers	PS2	2004.0	Shooter	Atari		T
Dying Light	XOne	2015.0	Action	Warner Bros. Interactive Entertainment		M
Fallout 4	PC	2015.0	Role-Playing	Bethesda Softworks		M
Sonic Colors	DS	2010.0	Platform	Sega		E
Assassin's Creed: Rogue	PS3	2014.0	Action	Ubisoft		M
EA Playground	Wii	2007.0	Sports	Electronic Arts		E
The Elder Scrolls Online	XOne	2015.0	Role-Playing	Bethesda Softworks		M
Champions of Norrath	PS2	2004.0	Role-Playing	Sony Online Entertainment		T
Manhunt	PS2	2003.0	Action	Take-Two Interactive		M
Need for Speed Carbon	Wii	2006.0	Racing	Electronic Arts		E10+
Silent Hill 2	PS2	2001.0	Action	Konami Digital Entertainment		M
Castlevania: Symphony of the Night	PS	1997.0	Platform	Konami Digital Entertainment		T
Guitar Hero: Aerosmith	Wii	2008.0	Misc	Activision		T
The LEGO Movie Videogame	X360	2014.0	Action	Warner Bros. Interactive Entertainment		E10+
The Sims 2: Nightlife	PC	2005.0	Simulation	Electronic Arts		T
Dark Souls II	PS3	2014.0	Role-Playing	Namco Bandai Games		T
Kid Icarus: Uprising	3DS	2012.0	Action	Nintendo		E10+
Pokemon Mystery Dungeon: Gates to Infinity	3DS	2012.0	Role-Playing	Nintendo		E
LEGO Batman: The Videogame	PS2	2008.0	Action	Warner Bros. Interactive Entertainment		E10+
NBA 2K9	X360	2008.0	Sports	Take-Two Interactive		E
Tony Hawk's Underground	XB	2003.0	Sports	Activision		T
Metal Gear Solid V: Ground Zeroes	PS4	2014.0	Action	Konami Digital Entertainment		M
.hack//Infection Part 1	PS2	2002.0	Role-Playing	Atari		T
Jillian Michaels' Fitness Ultimatum 2009	Wii	2008.0	Sports	Deep Silver		E
Valkyria Chronicles	PS3	2008.0	Role-Playing	Sega		T
WWE '12	X360	2011.0	Fighting	THQ		T
Sonic Adventure DX: Director's Cut	GC	2003.0	Platform	Sega		E
Battle Arena Toshinden	PS	1994.0	Fighting	Sony Computer Entertainment		T
WWE '13	X360	2012.0	Action	THQ		T
Final Fantasy X / X-2 HD Remaster	PS3	2013.0	Role-Playing	Square Enix		T
Need for Speed Rivals	PS3	2013.0	Racing	Electronic Arts		E10+
EA Sports Active 2	Wii	2010.0	Sports	Electronic Arts		E
Rockstar Games presents Table Tennis	Wii	2007.0	Sports	Take-Two Interactive		E
Football Manager 2011	PC	2010.0	Sports	Sega		E
Tamagotchi Connection: Corner Shop	DS	2005.0	Simulation	Atari		E
Tomb Raider: Underworld	PS3	2008.0	Action	Eidos Interactive		T
LEGO Battles	DS	2009.0	Strategy	Warner Bros. Interactive Entertainment		E
NBA Live 2001	PS	2000.0	Sports	Electronic Arts		E
Saints Row IV	PS3	2013.0	Action	Deep Silver		M
Star Wars: The Force Unleashed	PS2	2008.0	Action	LucasArts		T
SOCOM: U.S. Navy SEALs Confrontation	PS3	2008.0	Shooter	Sony Computer Entertainment		M
Need for Speed: Most Wanted	X360	2005.0	Racing	Electronic Arts		T
Pokemon XD: Gale of Darkness	GC	2005.0	Role-Playing	Nintendo		E
Black	PS2	2006.0	Shooter	Electronic Arts		M
Tom Clancy's Rainbow Six: Vegas	PS3	2007.0	Shooter	Ubisoft		M
LittleBigPlanet PS Vita	PSV	2012.0	Platform	Sony Computer Entertainment		E
Pokemon Super Mystery Dungeon	3DS	2015.0	Role-Playing	Nintendo		E
RollerCoaster Tycoon 2	PC	2002.0	Strategy	Atari		E
Lara Croft Tomb Raider: The Angel of Darkness	PS2	2003.0	Action	Eidos Interactive		T
Tom Clancy's Splinter Cell: Pandora Tomorrow	PS2	2004.0	Action	Ubisoft		T
Ratchet: Deadlocked	PS2	2005.0	Shooter	Sony Computer Entertainment		T
Winter Sports: The Ultimate Challenge	Wii	2007.0	Sports	RTL		E
Baldur's Gate: Dark Alliance	PS2	2001.0	Role-Playing	Virgin Interactive		T
Oddworld: Abe's Oddysee	PS	1997.0	Platform	GT Interactive		T
Ridge Racer V	PS2	2000.0	Action	Namco Bandai Games		E
WWE SmackDown vs. Raw 2009	PS2	2008.0	Fighting	THQ		T
Star Wars Episode III: Revenge of the Sith	XB	2005.0	Action	Activision		T
[Prototype]	PS3	2009.0	Action	Activision		M
FIFA Street	PS3	2012.0	Sports	Electronic Arts		E
Frogger: The Great Quest	PS2	2001.0	Platform	Konami Digital Entertainment		E
Madden NFL 17	XOne	2016.0	Sports	Electronic Arts		E
Ninja Gaiden	XB	2004.0	Action	Microsoft Game Studios		M
Crash Bandicoot: The Wrath of Cortex	XB	2002.0	Platform	Universal Interactive		E
Driv3r	PS2	2004.0	Racing	Atari		M
Assassin's Creed: Bloodlines	PSP	2009.0	Action	Ubisoft		M
LEGO The Lord of the Rings	X360	2012.0	Action	Warner Bros. Interactive Entertainment		E10+
Hyrule Warriors	WiiU	2014.0	Action	Nintendo		T
Donkey Kong Country 2	GBA	2004.0	Platform	Nintendo		E
Guitar Hero: Aerosmith	X360	2008.0	Misc	Activision		T
Need for Speed Carbon	PS3	2006.0	Racing	Electronic Arts		E10+
Ben 10: Protector of Earth	Wii	2007.0	Action	D3Publisher		E10+
2010 FIFA World Cup South Africa	PS3	2010.0	Sports	Electronic Arts		E
Tales of Xillia	PS3	2011.0	Role-Playing	Namco Bandai Games		T
Diddy Kong Racing DS	DS	2007.0	Racing	Nintendo		E
Mario Power Tennis	GC	2004.0	Sports	Nintendo		E
Golden Sun: The Lost Age	GBA	2002.0	Role-Playing	Nintendo		E
Max Payne	XB	2001.0	Shooter	Take-Two Interactive		M
NBA 2K2	PS2	2002.0	Sports	Sega		E
Cars	PS2	2006.0	Racing	THQ		E
Fuzion Frenzy	XB	2001.0	Misc	Microsoft Game Studios		E
Call of Duty: Finest Hour	XB	2004.0	Shooter	Activision		T
Final Fantasy IV	DS	2007.0	Simulation	Square Enix		E10+
Star Wars: Battlefront II	PSP	2005.0	Shooter	LucasArts		T
Super Street Fighter IV: 3D Edition	3DS	2011.0	Fighting	Capcom		T
Sly Cooper and the Thievius Raccoonus	PS2	2002.0	Platform	Sony Computer Entertainment		E
WWE 2K16	PS4	2015.0	Sports	Take-Two Interactive		T
Dino Crisis 2	PS	2000.0	Action	Virgin Interactive		M
Need for Speed Underground	GC	2003.0	Racing	Electronic Arts		E
Naruto Shippuden: Ultimate Ninja Storm 2	PS3	2010.0	Fighting	Namco Bandai Games		T
Medal of Honor: Airborne	PS3	2007.0	Shooter	Electronic Arts		T
Battlefield: Hardline	XOne	2015.0	Shooter	Electronic Arts		M
Bayonetta	PS3	2009.0	Action	Sega		M
Boom Blox	Wii	2008.0	Puzzle	Electronic Arts		E
The Lord of the Rings: The Fellowship of the Ring	PS2	2002.0	Action	Black Label Games		T
The Sims 2: Castaway	Wii	2007.0	Simulation	Electronic Arts		T
ATV Offroad Fury 3	PS2	2004.0	Racing	SouthPeak Games		E
F1 2011	PS3	2011.0	Racing	Codemasters		E
Pikmin 2	GC	2004.0	Strategy	Nintendo		E
Enter the Matrix	XB	2003.0	Action	Atari		T
Cars	PSP	2006.0	Racing	THQ		E
NHL 2002	PS2	2001.0	Sports	Electronic Arts		E
FIFA Soccer 11	PSP	2010.0	Sports	Electronic Arts		E
The Simpsons: Road Rage	GBA	2003.0	Racing	THQ		E
LEGO Batman 2: DC Super Heroes	PS3	2012.0	Action	Warner Bros. Interactive Entertainment		E10+
Captain Toad: Treasure Tracker	WiiU	2014.0	Puzzle	Nintendo		E
SpongeBob SquarePants: Revenge of the Flying Dutchman	GBA	2002.0	Platform	THQ		E
Pro Evolution Soccer 2008	Wii	2008.0	Sports	Konami Digital Entertainment		E
Destiny: The Taken King	XOne	2015.0	Shooter	Activision		T
Scarface: The World is Yours	PS2	2006.0	Action	Vivendi Games		M
WWE SmackDown vs Raw 2008	PSP	2007.0	Fighting	THQ		T
Spider-Man: The Movie	GC	2002.0	Action	Activision		E
Mario vs. Donkey Kong 2: March of the Minis	DS	2006.0	Puzzle	Nintendo		E
Metal Gear Solid: Portable Ops	PSP	2006.0	Action	Konami Digital Entertainment		M
Injustice: Gods Among Us	PS3	2013.0	Fighting	Warner Bros. Interactive Entertainment		T
Shenmue	DC	1999.0	Adventure	Sega		T
Just Dance 4	X360	2012.0	Misc	Ubisoft		E10+
Tony Hawk's Pro Skater 2	GBA	2001.0	Sports	Activision		E
One Piece: Pirate Warriors	PS3	2012.0	Action	Namco Bandai Games		T
Gun	PS2	2005.0	Shooter	Activision		M
Ty the Tasmanian Tiger	PS2	2002.0	Platform	Electronic Arts		E
Resident Evil: Operation Raccoon City	PS3	2012.0	Action	Capcom		M
LEGO Indiana Jones: The Original Adventures	PSP	2008.0	Action	LucasArts		E10+
PokéPark Wii: Pikachu's Adventure	Wii	2009.0	Adventure	Nintendo		E
WWE '12	PS3	2011.0	Fighting	THQ		T
Cabela's Dangerous Hunts	PS2	2003.0	Sports	Zoo Digital Publishing		T
Grand Theft Auto V	PC	2015.0	Action	Take-Two Interactive		M
Fallout: New Vegas	PC	2010.0	Role-Playing	Bethesda Softworks		M
WWE SmackDown vs. Raw 2010	PS3	2009.0	Fighting	THQ		T
Medal of Honor: Rising Sun	XB	2003.0	Shooter	Electronic Arts		T
Army of Two	PS3	2008.0	Shooter	Electronic Arts		M
Spore	PC	2008.0	Strategy	Electronic Arts		E10+
Mario vs. Donkey Kong	GBA	2004.0	Puzzle	Nintendo		E
LEGO Star Wars III: The Clone Wars	PS3	2011.0	Action	LucasArts		E10+
Midnight Club 3: DUB Edition Remix	PS2	2006.0	Racing	Take-Two Interactive		E10+
Tom Clancy's Ghost Recon: Jungle Storm	PS2	2004.0	Shooter	Ubisoft		T
Bushido Blade	PS	1997.0	Fighting	Sony Computer Entertainment		T
Mirror's Edge	X360	2008.0	Platform	Electronic Arts		T
Sonic the Hedgehog	PS3	2006.0	Platform	Sega		E10+
NASCAR Thunder 2002	PS2	2001.0	Racing	Electronic Arts		E
Your Shape: Fitness Evolved 2012	X360	2011.0	Sports	Ubisoft		E
FIFA 14	XOne	2013.0	Sports	Electronic Arts		E
Final Fantasy Tactics: The War of the Lions	PSP	2007.0	Role-Playing	Square Enix		T
Sniper: Ghost Warrior	X360	2010.0	Shooter	City Interactive		M
Sonic Rush Adventure	DS	2007.0	Platform	Sega		E
Worldwide Soccer Manager 2009	PC	2008.0	Simulation	Sega		E
Gauntlet: Dark Legacy	PS2	2001.0	Action	Midway Games		T
Medal of Honor Heroes 2	PSP	2007.0	Shooter	Electronic Arts		T
Bad Boys: Miami Takedown	PS2	2004.0	Shooter	Empire Interactive		M
Medal of Honor: Warfighter	X360	2012.0	Action	Electronic Arts		M
FIFA Soccer 10	PSP	2009.0	Sports	Electronic Arts		E
Donkey Konga	GC	2003.0	Misc	Nintendo		E
Call of Duty 4: Modern Warfare	PC	2007.0	Shooter	Activision		M
Tak and the Power of Juju	PS2	2003.0	Platform	THQ		E
WWE 2K15	PS4	2014.0	Sports	Take-Two Interactive		T
Tenchu: Wrath of Heaven	PS2	2003.0	Action	Activision		M
Shadow of the Colossus	PS2	2005.0	Action	Sony Computer Entertainment		T
Brave Fencer Musashi	PS	1998.0	Role-Playing	SquareSoft		E
Ninja Gaiden Sigma	PS3	2007.0	Action	Eidos Interactive		M
WWE 2K14	PS3	2013.0	Sports	Take-Two Interactive		T
Pokemon Rumble Blast	3DS	2011.0	Action	Nintendo		E10+
007: Quantum of Solace	PS3	2008.0	Action	Activision		T
Dance Dance Revolution Extreme 2	PS2	2005.0	Simulation	Konami Digital Entertainment		E10+
The Lord of the Rings: The Return of the King	XB	2003.0	Action	Electronic Arts		T
Hot Shots Golf: Out of Bounds	PS3	2007.0	Sports	Sony Computer Entertainment		E
Sunset Overdrive	XOne	2014.0	Shooter	Microsoft Game Studios		M
Mobile Suit Gundam: Federation vs. Zeon	PS2	2001.0	Simulation	Atari		T
Naruto Shippuden: Ultimate Ninja Storm 4	PS4	2016.0	Fighting	Namco Bandai Games		T
MechAssault	XB	2002.0	Simulation	Microsoft Game Studios		T
Cars	GBA	2006.0	Racing	THQ		E
Watch Dogs 2	PS4	2016.0	Action	Ubisoft		M
LEGO Star Wars III: The Clone Wars	3DS	2011.0	Action	LucasArts		E10+
Tom Clancy's Rainbow Six 3: Black Arrow	XB	2004.0	Shooter	Ubisoft		M
Mirror's Edge	PS3	2008.0	Platform	Electronic Arts		T
Guitar Hero 5	X360	2009.0	Misc	Activision		T
Alien: Isolation	PS4	2014.0	Shooter	Sega		M
Fantasy Life	3DS	2012.0	Role-Playing	Nintendo		E10+
SingStar	PS3	2007.0	Misc	Sony Computer Entertainment		T
The Legend of Zelda: Tri Force Heroes	3DS	2015.0	Action	Nintendo		E
Supercar Street Challenge	PS2	2001.0	Racing	Activision		E
Rabbids Go Home	Wii	2009.0	Platform	Ubisoft		E10+
ModNation Racers	PS3	2010.0	Racing	Sony Computer Entertainment		E
SOCOM: U.S. Navy SEALs Fireteam Bravo	PSP	2005.0	Shooter	Sony Computer Entertainment		M
Rocksmith	PS3	2011.0	Misc	Ubisoft		T
Call Of Duty 2: Big Red One	XB	2005.0	Shooter	Activision		T
Rocksmith	X360	2011.0	Misc	Ubisoft		T
Guitar Hero 5	PS2	2009.0	Misc	Activision		T
Worldwide Soccer Manager 2008	PC	2007.0	Sports	Russel		E
Yakuza 3	PS3	2009.0	Action	Sega		M
Persona 4: Golden	PSV	2012.0	Role-Playing	Atlus		M
Spider-Man 2	XB	2004.0	Action	Activision		T
Crackdown 2	X360	2010.0	Shooter	Microsoft Game Studios		M
The Beatles: Rock Band	PS3	2009.0	Misc	MTV Games		T
Dragon Age II	X360	2011.0	Action	Electronic Arts		M
Counter-Strike	XB	2003.0	Shooter	Microsoft Game Studios		M
Guitar Hero Encore: Rocks The 80s	PS2	2007.0	Misc	RedOctane		T
Fight Night Champion	PS3	2011.0	Fighting	Electronic Arts		M
Tom Clancy's Splinter Cell: Chaos Theory	XB	2005.0	Action	Ubisoft		M
Pikmin 3	WiiU	2013.0	Strategy	Nintendo		E10+
WWE 2K14	X360	2013.0	Sports	Take-Two Interactive		T
Dragon Ball: XenoVerse	PS4	2015.0	Fighting	Namco Bandai Games		T
Castlevania: Lords of Shadow	PS3	2010.0	Action	Konami Digital Entertainment		M
Plants vs. Zombies	DS	2011.0	Strategy	Mastertronic		E10+
Tales of Symphonia	GC	2003.0	Role-Playing	Nintendo		T
LEGO City Undercover	WiiU	2013.0	Platform	Nintendo		E10+
Need for Speed: ProStreet	Wii	2007.0	Racing	Electronic Arts		E10+
GRID	PS3	2008.0	Racing	Codemasters		E
Medal of Honor: Airborne	X360	2007.0	Shooter	Electronic Arts		T
Star Ocean: The Second Story	PS	1998.0	Role-Playing	Sony Computer Entertainment		E
NCAA Football 14	X360	2013.0	Sports	Electronic Arts		E
Yakuza 2	PS2	2006.0	Adventure	Sega		M
Guitar Hero 5	PS3	2009.0	Misc	Activision		T
Dragon Ball Z: The Legacy of Goku II	GBA	2003.0	Role-Playing	Atari		E
NERF N-Strike	Wii	2008.0	Shooter	Electronic Arts		E10+
NFL 2K1	DC	2000.0	Sports	Sega		E
Untold Legends: Brotherhood of the Blade	PSP	2005.0	Role-Playing	Activision		T
Project CARS	PS4	2015.0	Racing	Slightly Mad Studios		E
Madden NFL 2004	XB	2003.0	Sports	Electronic Arts		E
Sonic and the Black Knight	Wii	2009.0	Platform	Sega		E10+
The Godfather	PS2	2006.0	Action	Electronic Arts		M
Sonic Free Riders	X360	2010.0	Racing	Sega		E
Star Wars: Bounty Hunter	PS2	2002.0	Shooter	LucasArts		T
WWE SmackDown vs. Raw 2011	PS3	2010.0	Fighting	THQ		T
NCAA Football 13	X360	2012.0	Action	Electronic Arts		E
Skate 2	X360	2009.0	Sports	Electronic Arts		T
NASCAR Thunder 2004	PS2	2003.0	Racing	Electronic Arts		E
Namco Museum Battle Collection	PSP	2005.0	Misc	Sony Computer Entertainment		E10+
Empire: Total War	PC	2009.0	Strategy	Sega		T
Virtua Fighter 5	PS3	2007.0	Fighting	Sega		T
Dante's Inferno	PS3	2010.0	Action	Electronic Arts		M
Tom Clancy's Ghost Recon 2	PS2	2004.0	Shooter	Ubisoft		T
Forza Horizon 3	XOne	2016.0	Racing	Microsoft Game Studios		E
Star Wars: The Force Unleashed	PSP	2008.0	Action	LucasArts		T
Dragon Ball Z: Taiketsu	GBA	2003.0	Fighting	Atari		T
Star Fox: Assault	GC	2005.0	Shooter	Nintendo		T
Plants vs. Zombies: Garden Warfare	X360	2014.0	Shooter	Electronic Arts		E10+
The Simpsons Game	PSP	2007.0	Action	Electronic Arts		T
LEGO Star Wars II: The Original Trilogy	DS	2006.0	Action	LucasArts		E
Call of Duty 3	PS2	2006.0	Shooter	Activision		T
FIFA Soccer 11	Wii	2010.0	Sports	Electronic Arts		E
Prince of Persia	PS3	2008.0	Action	Ubisoft		T
Tomb Raider: Underworld	X360	2008.0	Action	Eidos Interactive		T
Pro Evolution Soccer 2008	X360	2007.0	Sports	Konami Digital Entertainment		E
SoulCalibur III	PS2	2005.0	Fighting	Namco Bandai Games		T
Tiger Woods PGA Tour 10	Wii	2009.0	Sports	Electronic Arts		E
World Tour Soccer	PSP	2005.0	Sports	Sony Computer Entertainment		E
Naruto: Ultimate Ninja Storm	PS3	2008.0	Fighting	Namco Bandai Games		T
Lightning Returns: Final Fantasy XIII	PS3	2013.0	Role-Playing	Square Enix		T
Mortal Kombat: Armageddon	PS2	2006.0	Fighting	Midway Games		M
Freekstyle	PS2	2002.0	Racing	Electronic Arts		E
Grand Theft Auto: Chinatown Wars	PSP	2009.0	Action	Take-Two Interactive		M
Spore Creatures	DS	2008.0	Simulation	Electronic Arts		E
The Orange Box	PS3	2007.0	Shooter	Electronic Arts		M
DJ Hero	X360	2009.0	Misc	Activision		T
Bully: Scholarship Edition	X360	2008.0	Action	Take-Two Interactive		T
NBA Street V3	PS2	2005.0	Sports	Electronic Arts		E
Hulk	PS2	2003.0	Action	Universal Interactive		T
Overwatch	XOne	2016.0	Shooter	Activision		T
Aliens vs Predator	X360	2010.0	Shooter	Sega		M
Skylanders Giants	PS3	2012.0	Action	Activision		E10+
Diablo II: Lord of Destruction	PC	2001.0	Role-Playing	Vivendi Games		M
Endless Ocean	Wii	2007.0	Adventure	Nintendo		E
Spider-Man 2	GBA	2004.0	Action	Activision		E
Seek and Destroy	PS2	2002.0	Racing	Play It		T
Darksiders	X360	2010.0	Action	THQ		M
Mercenaries 2: World in Flames	X360	2008.0	Shooter	Electronic Arts		T
Warhawk	PS3	2007.0	Simulation	Sony Computer Entertainment		T
DiRT 3	PS3	2011.0	Racing	Codemasters		T
Sega Superstars Tennis	Wii	2008.0	Sports	Sega		E10+
DiRT	PS3	2007.0	Racing	Codemasters		E
Call of Duty 4: Modern Warfare	DS	2007.0	Shooter	Activision		T
Resident Evil: The Darkside Chronicles	Wii	2009.0	Action	Capcom		M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2	PSP	2006.0	Shooter	Sony Computer Entertainment		T
NBA 2K3	PS2	2002.0	Sports	Sega		E
LEGO The Lord of the Rings	PS3	2012.0	Action	Warner Bros. Interactive Entertainment		E10+
The Simpsons: Road Rage	XB	2001.0	Racing	Electronic Arts		T
Dave Mirra Freestyle BMX	PS	2000.0	Sports	Acclaim Entertainment		E
EA Sports UFC	PS4	2014.0	Sports	Electronic Arts		T
Forza Motorsport	XB	2005.0	Racing	Microsoft Game Studios		E
Virtua Tennis 3	PS3	2007.0	Sports	Sega		E
MVP Baseball 2003	PS2	2003.0	Sports	Electronic Arts		E
WWE SmackDown vs. Raw 2010	X360	2009.0	Fighting	THQ		T
Sleeping Dogs	PS3	2012.0	Action	Square Enix		M
Naruto: Clash of Ninja 2	GC	2003.0	Fighting	Nintendo		T
Dance Dance Revolution SuperNOVA	PS2	2006.0	Simulation	Konami Digital Entertainment		E10+
Aliens vs Predator	PS3	2010.0	Shooter	Sega		M
F-Zero: Maximum Velocity	GBA	2001.0	Racing	Nintendo		E
Sonic the Hedgehog	X360	2006.0	Platform	Sega		E10+
Need for Speed: Most Wanted	XB	2005.0	Racing	Electronic Arts		T
The Simpsons Game	X360	2007.0	Action	Electronic Arts		T
F1 2012	PS3	2012.0	Racing	Codemasters		E
Brink	X360	2011.0	Shooter	Bethesda Softworks		T
MX vs. ATV Unleashed	PS2	2005.0	Racing	THQ		E
WipEout Pure	PSP	2005.0	Racing	Sony Computer Entertainment		E
UFC Undisputed 3	PS3	2012.0	Action	THQ		T
LEGO Pirates of the Caribbean: The Video Game	X360	2011.0	Action	Disney Interactive Studios		E10+
Tom Clancy's Ghost Recon Advanced Warfighter 2	PS3	2007.0	Shooter	Ubisoft		T
Super Princess Peach	DS	2005.0	Platform	Nintendo		E
Guinness World Records: The Videogame	Wii	2008.0	Action	Warner Bros. Interactive Entertainment		E10+
NCAA March Madness 2004	PS2	2003.0	Sports	Electronic Arts		E
The Legend of Zelda: Twilight Princess HD	WiiU	2016.0	Action	Nintendo		T
LEGO Indiana Jones: The Original Adventures	PS3	2008.0	Action	Activision		E10+
Tomb Raider	PC	1996.0	Action	Eidos Interactive		M
Street Fighter Alpha 3	PS	1998.0	Fighting	Virgin Interactive		T
MySims Agents	Wii	2009.0	Adventure	Electronic Arts		E
MotorStorm: Arctic Edge	PSP	2009.0	Racing	Sony Computer Entertainment		T
FIFA Soccer 08	Wii	2007.0	Sports	Electronic Arts		E
Tiger Woods PGA Tour 08	Wii	2007.0	Sports	Electronic Arts		E
Dragon Ball Z: Budokai Tenkaichi 3	Wii	2007.0	Fighting	Atari		T
Shrek 2	GC	2004.0	Platform	Activision		E
NBA 2K17	XOne	2016.0	Sports	Take-Two Interactive		E
Tom Clancy's Ghost Recon Advanced Warfighter 2	X360	2007.0	Shooter	Ubisoft		T
Sonic Unleashed	PS3	2008.0	Platform	Sega		E10+
Disney Universe	Wii	2011.0	Action	Disney Interactive Studios		E10+
Dance on Broadway	Wii	2010.0	Misc	Ubisoft		E10+
LEGO Indiana Jones 2: The Adventure Continues	X360	2009.0	Action	Activision		E10+
Bulletstorm	X360	2011.0	Shooter	Electronic Arts		M
Skylanders SWAP Force	PS3	2013.0	Platform	Activision		E10+
Madden NFL 07	XB	2006.0	Sports	Electronic Arts		E
Sonic Generations	3DS	2011.0	Platform	Sega		E
Rock Band 2	Wii	2008.0	Misc	MTV Games		T
Harry Potter and the Prisoner of Azkaban	PS2	2004.0	Action	Electronic Arts		E
Pokemon Conquest	DS	2012.0	Role-Playing	Nintendo		E
Wall-E	Wii	2008.0	Platform	THQ		E
Naruto: Clash of Ninja Revolution	Wii	2007.0	Fighting	Tomy Corporation		T
Ace Combat 6: Fires of Liberation	X360	2007.0	Simulation	Atari		T
The Simpsons Game	Wii	2007.0	Action	Electronic Arts		T
Ninja Gaiden II	X360	2008.0	Action	Tecmo Koei		M
Assassin's Creed: Rogue	X360	2014.0	Action	Ubisoft		M
Rayman Legends	PS4	2014.0	Platform	Ubisoft		E10+
Prince of Persia	X360	2008.0	Action	Ubisoft		T
ZombiU	WiiU	2012.0	Action	Ubisoft		M
Pokken Tournament	WiiU	2016.0	Fighting	Namco Bandai Games		E10+
Ford Racing 2	PS2	2003.0	Racing	Empire Interactive		E
NERF N-Strike Elite	Wii	2009.0	Shooter	Electronic Arts		E10+
God of War: Ghost of Sparta	PSP	2010.0	Action	Sony Computer Entertainment		M
SoulCalibur II	XB	2003.0	Fighting	Namco Bandai Games		T
Dynasty Warriors 3: Xtreme Legends	PS2	2002.0	Action	Tecmo Koei		T
Rayman Origins	PS3	2011.0	Platform	Ubisoft		E10+
NFL Fever 2002	XB	2000.0	Sports	Microsoft Game Studios		E
Just Dance 2014	X360	2013.0	Misc	Ubisoft		E10+
NCAA Football 12	X360	2011.0	Sports	Electronic Arts		E
UFC Undisputed 3	X360	2012.0	Action	THQ		T
Kirby: Mass Attack	DS	2011.0	Platform	Nintendo		E
Haze	PS3	2008.0	Shooter	Ubisoft		M
Oddworld: Abe's Exoddus	PS	1998.0	Platform	GT Interactive		T
The Bouncer	PS2	2000.0	Action	Sony Computer Entertainment		T
DiRT 2	PS3	2009.0	Racing	Codemasters		T
Guitar Hero: Aerosmith	PS3	2008.0	Misc	Activision		T
Shadow The Hedgehog	GC	2005.0	Platform	Sega		E10+
EyePet	PS3	2009.0	Simulation	Sony Computer Entertainment		E
Apollo Justice: Ace Attorney	DS	2007.0	Adventure	Capcom		T
Ace Combat X: Skies of Deception	PSP	2006.0	Simulation	Namco Bandai Games		T
Dark Souls	X360	2011.0	Role-Playing	Namco Bandai Games		M
Midnight Club: LA Remix	PSP	2008.0	Racing	Take-Two Interactive		T
Pro Evolution Soccer 2008	PSP	2008.0	Sports	Konami Digital Entertainment		E
FIFA Soccer 10	Wii	2009.0	Sports	Electronic Arts		E
Tales of Graces f	PS3	2010.0	Role-Playing	Namco Bandai Games		T
Fallout 3	PC	2008.0	Role-Playing	Bethesda Softworks		M
Mario Party Advance	GBA	2005.0	Misc	Nintendo		E
Zoo Tycoon DS	DS	2005.0	Strategy	THQ		E
WWE SmackDown vs Raw 2008	Wii	2007.0	Fighting	THQ		T
Dead Space 3	X360	2013.0	Action	Electronic Arts		M
Tom Clancy's Splinter Cell: Blacklist	X360	2013.0	Action	Ubisoft		M
NBA 2K10	X360	2009.0	Sports	Take-Two Interactive		E
NCAA Football 06	XB	2005.0	Sports	Electronic Arts		E
Grand Theft Auto: San Andreas	PC	2005.0	Action	Take-Two Interactive		M
Madden NFL 08	PS3	2007.0	Sports	Electronic Arts		E
Fire Emblem	GBA	2003.0	Strategy	Nintendo		E
Brutal Legend	X360	2009.0	Action	Electronic Arts		M
Disney Infinity	PS3	2013.0	Action	Disney Interactive Studios		E10+
NHL 2004	PS2	2003.0	Sports	Electronic Arts		E
Grand Theft Auto: Vice City Stories	PS2	2007.0	Action	Take-Two Interactive		M
FIFA Soccer 2005	XB	2004.0	Sports	Electronic Arts		E
Mass Effect 3	PC	2012.0	Role-Playing	Electronic Arts		M
Cars	DS	2006.0	Racing	THQ		E
Band Hero	Wii	2009.0	Misc	Activision		E10+
Skylanders: Spyro's Adventure	X360	2011.0	Action	Activision		E10+
LEGO Star Wars II: The Original Trilogy	GC	2006.0	Action	LucasArts		E10+
Medal of Honor: Underground	PS	2000.0	Shooter	Electronic Arts		T
